Artists,City,State
"['Wade Bowen', 'Flatland Cavalry, Kaitlin Butts', 'Parker McCollum', 'Koe Wetzel, Parker McCollum', 'Josh Abbott Band', 'Randy Rogers Band', 'Aaron Watson', 'Mike Ryan', 'Mosaic MSC', 'Cody Johnson', 'Cory Asbury', 'Lauren Daigle', 'Matt Maher', 'Housefires', 'Francesca Battistelli', 'Steffany Gretzinger, Amanda Cook, Bethel Music', 'Phil Wickham', 'Casting Crowns', 'Elevation Worship', 'Kristene Dimarco, Bethel Music', 'Tyler Childers', 'Aaron Shust', 'David Crowder Band', 'Hillsong Young & Free', 'Melissa Helser, Jonathan David Helser, Bethel Music', 'All Sons & Daughters', 'Hillsong United', 'Matthew West', 'Big Daddy Weave', 'MercyMe', 'The Belonging Co, Natalie Grant', 'Kari Jobe', 'NEEDTOBREATHE']",Abilene,Texas
"['Ancient Worry', 'Antique Medicine', 'Atomic Beam', 'Beat Up Billy', 'California Missle Defense', 'Craft Machine', 'Dark Fever', 'Digital Letdown', 'Disco Jesus', 'Do School Things', 'Drink Therapist', 'Dry My Shoe', 'Duck Money', 'Eat Red', 'Englewood Shootout', 'Extreme Letdown', 'Flapjack Fury', 'Forever Complex', 'Forever Friday', 'Frisbee Down', 'Future Vacation', 'Hijack Disco', 'Jazz Mountain', 'LA Motel', 'Macrointelligence', 'Manatees Man', 'Miracle Mission', 'Mob Cinema', 'Moon Driver', 'Mr Upside', 'Mystery Lightening', 'Natural Medicine', 'Nightshifter', 'Outdoor Living', 'Plastic Boutique', 'Play Machine', 'Plow Machine', 'Popcorn Meteor', 'Seasons of Sympathy', 'Simple Memories', 'Sleep Review', 'Slick Tick', 'Spook Magic', 'Stories of the Past', 'Swindle Pit', 'Talk to It', 'The Decline of Negotiation', 'The Sea Cows', 'Thirteen Eleven', 'Time Stands for Us', 'Timewalker', 'Wake Up the Dragon', 'Windchime', 'Cody Marlowe', 'Mrs Neglect']",Acworth,Georgia
[],Akron,Ohio
[],Alameda,California
"['Q Da Fool', 'Ybs Skola', 'Shy Glizzy', 'WillThaRapper', 'Whitney Woerz', 'Sleep Sound Library', 'Creek Boyz', 'Raffi', 'Jimmie Allen', 'HoodRich Pablo Juan', 'Wale, G-Eazy', 'Kacey Musgraves', 'Jason Aldean', 'Jimmy Buffett', 'SAINt JHN', 'Dave Matthews Band', 'Mat Kearney', 'Meek Mill', 'Jordan Davis', 'DREAMERS', 'Morgan Wallen', 'Steve Moakler', 'Denny White', 'Kelsea Ballerini', 'Filmore', 'Sir Rosevelt', 'Craig Campbell', 'Mitchell Tenpenny', 'High Valley', 'Seth Ennis', 'Chase Rice', 'Thomas Rhett', 'Cassadee Pope', 'Zac Brown Band', 'Dylan Schneider', 'Lord Huron', 'The Revivalists', 'MisterWives', 'Brandon Lay', 'LANCO', 'Levi Hummon', 'Thompson Square', 'London Richards', 'Launder, Soko', 'Dru Hill', 'Waterloo Revival', 'Austin Burke', 'Josh Mirenda', 'Luke Combs', 'Rodney Atkins, The Fisk Jubilee Singers', 'Bantu, Shungudzo', 'Matt Stell', 'Jake Owen', 'Chris Lane, Tori Kelly', 'Dierks Bentley', 'Tyler Braden', 'Shotgun Rider', 'Yoshi Flower', 'Jukebox The Ghost', 'Walker Hayes', 'Old Crow Medicine Show', 'Judah & the Lion', 'TOMI', 'Jameson Rodgers', 'Old Dominion', 'Dustin Lynch', 'Jon Pardi', 'Reo Cragun', 'Noah Schnacky', 'Scotty McCreery', 'LOCASH', 'O.A.R.', 'Canaan Smith', 'Haux', 'Zacarias Ferreira', 'Stephen Carey', 'Devin Dawson', 'Granger Smith', 'Lil Uzi Vert', 'Gunna, HoodRich Pablo Juan', 'Brett Eldredge', 'Dylan Scott', 'Morgan Evans', 'Anthony Ramos, Okieriete Onaodowan, Daveed Diggs, Lin-Manuel Miranda, Leslie Odom Jr.', 'Eric Paslay', 'Remy Ma, Chris Brown', 'The Avett Brothers', 'Brothers Osborne', 'Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr., Original Broadway Cast of Hamilton', 'Leslie Odom Jr., Original Broadway Cast of Hamilton', 'Tori Kelly, The HamilTones', 'Smallpools', 'Austin Jenckes', 'Darius Rucker', 'Eli Young Band', 'Toby Keith', 'Cole Swindell', 'Billy Currington', 'Third Eye Blind', 'T.I.']",Alexandria,Virginia
"['Passion, Sean Curran', 'North Point InsideOut, Seth Condrey', 'WATCH THE DUCK, T.I., DJ E-Feezy, MERCE', 'Moon Taxi', 'Rainbow Kitten Surprise', 'Gunna, Lil Baby, Young Thug', 'HoodRich Pablo Juan', 'NEEDTOBREATHE', 'Zac Brown Band', 'DJ Esco, Future', 'YFN Lucci, Offset', 'Jon Langston', 'Cory Asbury', 'Tyler Braden', 'Quality Control, Lil Yachty, Quavo, Offset', 'Matt Maher', 'MercyMe', 'David Crowder Band', 'Hillsong United', 'Crowder, Tauren Wells', 'Chris Tomlin', 'Lil Baby', 'Jimmy Buffett', 'Chris Stapleton']",Alpharetta,Georgia
"['Shotgun Rider', 'Josh Abbott Band', 'Randy Rogers Band', 'Bart Crow', 'Parker McCollum', 'Koe Wetzel, Parker McCollum', 'Stoney LaRue', 'William Clark Green', 'Aaron Watson', '7eventh Time Down', 'Mandisa, TobyMac, Kirk Franklin', 'Cody Johnson', 'Casey Donahew', 'Big Daddy Weave', 'Micah Tyler', 'Building 429', 'Ryan Stevenson', 'Jonny Diaz', 'Natalie Grant', 'Passion, Kristian Stanfill', 'Sidewalk Prophets', 'Jordan Feliz', 'Jon Wolfe', 'Mike Ryan', 'Casting Crowns', 'one sonic society', 'Jeremy Camp', 'Matthew West', 'Zach Williams', 'Crowder, Tauren Wells', 'Tenth Avenue North', 'Francesca Battistelli', 'TobyMac', 'Newsboys', 'Turnpike Troubadours', 'George Strait', 'MercyMe', 'Third Day, All Sons & Daughters', 'Whiskey Myers', 'Chris Tomlin', 'Matt Maher', 'Mosaic MSC', 'Hillsong United', 'for KING & COUNTRY', 'Austin French', 'Lauren Daigle', 'Matt Redman', 'Tauren Wells', 'Cory Asbury', 'Phil Wickham', 'Jesus Culture, Chris Quilala', 'NEEDTOBREATHE', 'Hillary Scott & The Scott Family', 'Steffany Gretzinger', 'Aaron Shust', 'Russ', 'Brooks & Dunn', 'Elevation Worship', 'Vertical Worship, Jon Guerra', 'Keith Urban', 'Eli Young Band', 'Hillsong Worship', 'Tyler Childers']",Amarillo,Texas
"['Sammy Adams', 'Kaiydo', 'Rodney Atkins, The Fisk Jubilee Singers', 'Bryce Vine', 'Adam Sanders', 'Brandon Lay', 'Luke Pell', 'Jordan Davis', 'Stephen Carey', 'Josh Mirenda', 'Dylan Schneider', 'Morgan Wallen', 'Wes Walker, Dyl', 'Jimmie Allen', 'Skizzy Mars', 'Shotgun Rider', 'Walker McGuire', 'Seth Ennis', 'Steve Moakler', 'Levi Hummon', 'Waterloo Revival', 'Baby Bash, T-Pain', 'Quinn XCII', 'Hoodie Allen', 'Jon Pardi', 'Craig Campbell', 'Thompson Square', 'Chase Rice', 'Mitchell Tenpenny', 'Filmore', 'Chris Young', 'Noah Schnacky', 'Jason Aldean', 'Alabama', 'T-Pain, Lil Yachty', 'Chris Janson', 'Gucci Mane, Waka Flocka Flame, YG Hootie', 'Jake Owen', 'Louis The Child, Icona Pop', 'Asher Roth', 'Logan Mize', 'LANCO', 'Luke Combs', 'Dustin Lynch', 'Thomas Rhett', 'North Point InsideOut, Seth Condrey', 'Trent Harmon', 'Eric Paslay', 'Austin Burke', 'Ryan Hurd', 'LOCASH', 'Jon Bellion', 'Sir Rosevelt', 'Vic Mensa', 'High Valley', 'Cole Swindell', 'Scotty McCreery', 'Toby Keith', 'Tyler Braden', 'Dylan Scott', 'Blake Shelton', 'Parmalee', 'MisterWives', 'Dierks Bentley', 'Canaan Smith', 'Lil Dicky, Brendon Urie', 'A$AP Ferg, Migos', 'Montgomery Gentry', 'Hippo Campus', 'Bowling For Soup', 'Brett Eldredge', 'Kid Cudi', 'David Lee Murphy, Kenny Chesney', 'Elevation Worship', 'Jonas Brothers', 'Chris Lane, Tori Kelly', 'Hillsong United', 'Smallpools', 'John Michael Montgomery', 'Tim McGraw', 'Timeflies', 'Walker Hayes', 'Kelsea Ballerini', 'Granger Smith', 'Morgan Evans', 'Brothers Osborne', 'WALK THE MOON', 'Old Dominion', 'COIN', 'Trace Adkins', 'Frankie Ballard', 'Jackie Lee', 'Billy Currington', 'B.o.B, Lil Wayne', 'Russell Dickerson', 'Nitty Gritty Dirt Band', 'RaeLynn', 'Mac Miller', 'Dan + Shay', 'Brett Young']",Ames,Iowa
"['Caye, Wiz Khalifa', 'Sammy Adams', 'WATCH THE DUCK, T.I., DJ E-Feezy, MERCE', 'Alex Newell, Jess Glynne, DJ Cassidy, Nile Rodgers, Audien', 'Chelsea Cutler', 'Bryce Vine', 'Cousin Stizz, Offset', 'Quinn XCII', 'DJ Esco, Young Thug, Future, A Boogie Wit da Hoodie, DeJ Loaf', 'DRAM', 'Donnie Trumpet & The Social Experiment', 'Noname, Phoelix, Smino, Saba', 'Khalid', 'King Harvest', 'BROCKHAMPTON', 'Kanye West, Rick Ross', 'Chance The Rapper, Jeremih, R. Kelly', 'Frank Ocean', 'T-Pain, Lil Yachty', 'GoldLink, Hare Squead', 'Vulfpeck', 'The Head and the Heart', 'Travis Scott, Quavo', 'SZA', 'Saba, Jean Deaux', 'Vic Mensa', 'Marc E. Bassy, Kyle', 'Francis and the Lights, Chance The Rapper', 'Big Wild, Tove Styrke', 'Smino', 'A Boogie Wit da Hoodie, Alkaline', 'PnB Rock, Wiz Khalifa, NGHTMRE', 'Big Sean, Metro Boomin, Travis Scott', 'DJDS, Khalid, Charlie Wilson, Charlotte Day Wilson', 'The Lulls', 'Lorde', 'Rich The Kid, Quavo, Offset', 'Sylvan Esso']",Amherst,Massachusetts
"['The Bar-Kays', 'Suga Free', 'Doc Hollywood', 'Cali Life Style', 'Shoreline Mafia', 'DJ Quik', 'Devour', 'Rosie & The Originals', 'Zapp', 'Donnie Elbert', 'Billy Stewart', 'Mary Jane Girls', 'Brenton Wood', 'Rosie & The Originals', 'Ralfi Pagan', 'Patti Drew', 'Mary Wells', 'Vinny West', 'RJMrLA, Iamsu!', 'Radiobase, Cali Stackz', 'Los Dinamicos Del Norte', 'Barbara Mason', 'Los Hijos De Garcia', 'NB Ridaz', 'Kamaiyah, YG', 'Phora', 'YG', 'The Elgins', 'Little Anthony & The Imperials', 'Los Dos Grandes De La Sierra', 'Eleoth Garcia', 'Smokey Robinson', 'James & Bobby Purify', 'Lil Rob', 'Arsenal Efectivo', 'Fuerza Regida', 'Mack 10', 'Arley Perez', 'The Temprees', 'LEGADO 7', 'Hijos De Leyva', 'Los De Guamuchil', 'Grupo Codiciado', 'Kurupt, Tray Dee, Slip Capone', 'El Chicano', 'Mc Magic', 'King Lil G', 'Too $hort', 'The Persuaders', 'Dom Kennedy', 'Los Nuevos Rebeldes', 'Grupo Escolta', 'Grupo H-100', 'Ritchie Valens', 'Maxima Alianza', 'The Growlers', 'Frostydasnowmann', 'Dmac', 'Malo', 'Jesús Ojeda y Sus Parientes', 'Pete Wingfield', 'Nate Dogg, Snoop Dogg', 'Lenin Ramírez', 'Snoop Dogg, Kurupt, Nate Dogg, Warren G', 'Vaughan Mason and Crew', 'Barbara Lynn', 'Bobby Moore & The Rhythm Aces', 'YG', 'Mike Sherm', 'James Brown', 'Drakeo the Ruler', 'Bone Thugs-N-Harmony', 'La Sonora Dinamita, Eliana Sasies Carvajal', 'Grupo 360', 'Kanales', 'Grupo Fernandez, Los Del Arroyo, Banda Renovacion', 'Omar Ruiz', 'The Delfonics', 'Los Nuevos Ilegales', 'El de La Guitarra', 'Delegation', 'Los Sembradores', 'Martin Castillo', 'Salsalino, AngleTeam Marvo', 'Priceless Da Roc', 'Los Canelos De Durango', 'Primera Generacion', 'Mr. Criminal', 'El Fantasma', 'Xavier Wulf', 'Fuerza de Tijuana', 'N.W.A.', 'One Way', 'Chicano Batman', 'Los Cuates de Sinaloa', 'Chalino Sanchez', 'T3R Elemento', 'Noel Torres, LEGADO 7', 'Los Alegres Del Barranco', 'G.Q.']",Anaheim,California
