artist_id,genre
3zXw2Eh96iTT51pytzHdZi,southern rock
2lFHVcUeJ9Gq6AZiU3ZAOa,dance pop
2lFHVcUeJ9Gq6AZiU3ZAOa,hip pop
2lFHVcUeJ9Gq6AZiU3ZAOa,pop christmas
2lFHVcUeJ9Gq6AZiU3ZAOa,r&b
2lFHVcUeJ9Gq6AZiU3ZAOa,soul christmas
2lFHVcUeJ9Gq6AZiU3ZAOa,urban contemporary
0FWzNDaEu9jdgcYTbcOa4F,dance pop
0FWzNDaEu9jdgcYTbcOa4F,electropowerpop
0FWzNDaEu9jdgcYTbcOa4F,emo
0FWzNDaEu9jdgcYTbcOa4F,modern rock
0FWzNDaEu9jdgcYTbcOa4F,pop punk
0FWzNDaEu9jdgcYTbcOa4F,pop rap
0FWzNDaEu9jdgcYTbcOa4F,post-teen pop
5rAaG3OuMuWvPWYji9TDgh,boy band
5rAaG3OuMuWvPWYji9TDgh,new jack swing
5rAaG3OuMuWvPWYji9TDgh,soul christmas
6EFL6smxzRtpwlQvZFldUc,east coast hip hop
6EFL6smxzRtpwlQvZFldUc,hardcore hip hop
6EFL6smxzRtpwlQvZFldUc,hip hop
6EFL6smxzRtpwlQvZFldUc,hip house
6EFL6smxzRtpwlQvZFldUc,rap
1qyAl8T6GTcaOViaI7fs1j,deep latin christian
1qyAl8T6GTcaOViaI7fs1j,latin
1qyAl8T6GTcaOViaI7fs1j,salsa
1qyAl8T6GTcaOViaI7fs1j,tropical
0Je74SitssvJg1w4Ra2EK7,new wave pop
0Je74SitssvJg1w4Ra2EK7,pop rock
2YP02JRa1JLejrg3XTssJS,brill building pop
2YP02JRa1JLejrg3XTssJS,chicago soul
2YP02JRa1JLejrg3XTssJS,doo-wop
2YP02JRa1JLejrg3XTssJS,rock-and-roll
5Rl15oVamLq7FbSb0NNBNy,pop
5Rl15oVamLq7FbSb0NNBNy,pop punk
5Rl15oVamLq7FbSb0NNBNy,post-teen pop
3q7HBObVc0L8jNeTe5Gofh,east coast hip hop
3q7HBObVc0L8jNeTe5Gofh,gangster rap
3q7HBObVc0L8jNeTe5Gofh,hip hop
3q7HBObVc0L8jNeTe5Gofh,pop rap
3q7HBObVc0L8jNeTe5Gofh,rap
5ILgJERmX20rZuVVDQ7z5P,crunk
5ILgJERmX20rZuVVDQ7z5P,dirty south rap
5ILgJERmX20rZuVVDQ7z5P,southern hip hop
7qeBsFLeNEuzrDhDMbnDwF,crunk
7qeBsFLeNEuzrDhDMbnDwF,miami bass
4IVAbR2w4JJNJDDRFP3E83,indie r&b
4IVAbR2w4JJNJDDRFP3E83,pop
4IVAbR2w4JJNJDDRFP3E83,r&b
4IVAbR2w4JJNJDDRFP3E83,rap
4IVAbR2w4JJNJDDRFP3E83,trap music
7gZfnEnfiaHzxARJ2LeXrf,pop
7gZfnEnfiaHzxARJ2LeXrf,trap music
2S8UlyXW4JjjHcbeg8ddIo,hip pop
2S8UlyXW4JjjHcbeg8ddIo,neo soul
2S8UlyXW4JjjHcbeg8ddIo,new jack swing
2S8UlyXW4JjjHcbeg8ddIo,quiet storm
2S8UlyXW4JjjHcbeg8ddIo,r&b
2S8UlyXW4JjjHcbeg8ddIo,southern hip hop
2S8UlyXW4JjjHcbeg8ddIo,urban contemporary
2KOCXIEmkM6K82nL9fovWf,indie rockism
3vjd6YHdWCqO3MWaYbxDf0,electro
3vjd6YHdWCqO3MWaYbxDf0,miami bass
6V03b3Y36lolYP2orXn8mV,dance pop
3ZZHB1Xh2PM88QTMiqHB62,bubblegum pop
3ZZHB1Xh2PM88QTMiqHB62,classic garage rock
3ZZHB1Xh2PM88QTMiqHB62,freakbeat
3ZZHB1Xh2PM88QTMiqHB62,garage rock
3ZZHB1Xh2PM88QTMiqHB62,protopunk
3ZZHB1Xh2PM88QTMiqHB62,psychedelic rock
31W5EY0aAly4Qieq6OFu6I,pop
31W5EY0aAly4Qieq6OFu6I,rap
31W5EY0aAly4Qieq6OFu6I,trap music
0xngxYYzk5L7EPBsNRQODt,soul christmas
0uAjBatvB4ubpd4kCfjmNt,dance rock
0uAjBatvB4ubpd4kCfjmNt,new romantic
0uAjBatvB4ubpd4kCfjmNt,new wave
0uAjBatvB4ubpd4kCfjmNt,new wave pop
0uAjBatvB4ubpd4kCfjmNt,synthpop
5xKp3UyavIBUsGy3DQdXeF,neo mellow
5xKp3UyavIBUsGy3DQdXeF,piano rock
5xKp3UyavIBUsGy3DQdXeF,pop rock
4DFhHyjvGYa9wxdHUjtDkc,alternative metal
4DFhHyjvGYa9wxdHUjtDkc,alternative rock
4DFhHyjvGYa9wxdHUjtDkc,modern rock
4DFhHyjvGYa9wxdHUjtDkc,nu metal
4DFhHyjvGYa9wxdHUjtDkc,post-grunge
4DFhHyjvGYa9wxdHUjtDkc,rap metal
4DFhHyjvGYa9wxdHUjtDkc,rap rock
4DFhHyjvGYa9wxdHUjtDkc,rock
1mYsTxnqsietFxj1OgoGbG,desi
1mYsTxnqsietFxj1OgoGbG,desi hip hop
1mYsTxnqsietFxj1OgoGbG,filmi
1mYsTxnqsietFxj1OgoGbG,indian pop
1mYsTxnqsietFxj1OgoGbG,sufi
1NU9Em6e8dDo36Js6nEo3t,alternative pop rock
1NU9Em6e8dDo36Js6nEo3t,emo
1NU9Em6e8dDo36Js6nEo3t,neo mellow
1NU9Em6e8dDo36Js6nEo3t,pixie
1NU9Em6e8dDo36Js6nEo3t,pop emo
1NU9Em6e8dDo36Js6nEo3t,pop punk
1NU9Em6e8dDo36Js6nEo3t,punk christmas
1ii6e2pv8VIRwnTER71rMl,disco
55RI2GNCfyXr0f14uIdhwd,contemporary country
55RI2GNCfyXr0f14uIdhwd,country road
55RI2GNCfyXr0f14uIdhwd,lift kit
55RI2GNCfyXr0f14uIdhwd,modern country rock
09hVIj6vWgoCDtT03h8ZCa,alternative hip hop
09hVIj6vWgoCDtT03h8ZCa,east coast hip hop
09hVIj6vWgoCDtT03h8ZCa,gangster rap
09hVIj6vWgoCDtT03h8ZCa,hardcore hip hop
09hVIj6vWgoCDtT03h8ZCa,hip hop
09hVIj6vWgoCDtT03h8ZCa,jazz rap
09hVIj6vWgoCDtT03h8ZCa,pop rap
09hVIj6vWgoCDtT03h8ZCa,rap
5dHt1vcEm9qb8fCyLcB3HL,hip hop
5dHt1vcEm9qb8fCyLcB3HL,pop
5dHt1vcEm9qb8fCyLcB3HL,pop rap
5dHt1vcEm9qb8fCyLcB3HL,rap
5dHt1vcEm9qb8fCyLcB3HL,southern hip hop
5dHt1vcEm9qb8fCyLcB3HL,trap music
5dHt1vcEm9qb8fCyLcB3HL,underground hip hop
13ubrt8QOOCPljQ2FL1Kca,east coast hip hop
13ubrt8QOOCPljQ2FL1Kca,hip hop
13ubrt8QOOCPljQ2FL1Kca,pop
13ubrt8QOOCPljQ2FL1Kca,pop rap
13ubrt8QOOCPljQ2FL1Kca,rap
13ubrt8QOOCPljQ2FL1Kca,southern hip hop
13ubrt8QOOCPljQ2FL1Kca,trap music
