found_name,genres,read_name,spotify_id
504 Boyz,"['crunk', 'dirty south rap', 'southern hip hop']",504 Boyz,5ILgJERmX20rZuVVDQ7z5P
69 Boyz,"['crunk', 'miami bass']",69 Boyz,7qeBsFLeNEuzrDhDMbnDwF
6LACK,"['indie r&b', 'pop', 'r&b', 'rap', 'trap music']",6LACK,4IVAbR2w4JJNJDDRFP3E83
6ig Angu5,[],6ig Angu5,3CmrfiImi4YaWCdoFNV9EK
6ix9ine,"['pop', 'trap music']",6ix9ine,7gZfnEnfiaHzxARJ2LeXrf
7 Aurelius,[],7 Aurelius,4riz3aqKLe0ROniKeD67ME
7 Mile Clee,[],7 Mile,0mG9Sj8nG0NmMhpbGDPRqN
702,"['hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",702,2S8UlyXW4JjjHcbeg8ddIo
TreeHouse 707,[],707,1yQxT2D7aZgoQqDl5paViK
888,['indie rockism'],888,2KOCXIEmkM6K82nL9fovWf
99 Percent,[],9.9,3hPPNy5OBzCU1icQO7Nrok
95 South,"['electro', 'miami bass']",95 South,3vjd6YHdWCqO3MWaYbxDf0
98º,['dance pop'],98 Degrees,6V03b3Y36lolYP2orXn8mV
? & The Mysterians,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'garage rock', 'protopunk', 'psychedelic rock']",? (Question Mark,3ZZHB1Xh2PM88QTMiqHB62
A Boogie Wit da Hoodie,"['pop', 'rap', 'trap music']",A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I
A Few Good Men,['soul christmas'],A Few Good Men,0xngxYYzk5L7EPBsNRQODt
A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt
A Great Big World,"['neo mellow', 'piano rock', 'pop rock']",A Great Big World,5xKp3UyavIBUsGy3DQdXeF
,[],A Great Big World & Christina Aguilera,
A Perfect Circle,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc
A.R. Rahman,"['desi', 'desi hip hop', 'filmi', 'indian pop', 'sufi']",A R Rahman,1mYsTxnqsietFxj1OgoGbG
A Rocket To The Moon,"['alternative pop rock', 'emo', 'neo mellow', 'pixie', 'pop emo', 'pop punk', 'punk christmas']",A Rocket To The Moon,1NU9Em6e8dDo36Js6nEo3t
A Taste Of Honey,['disco'],A Taste Of Honey,1ii6e2pv8VIRwnTER71rMl
A Thousand Horses,"['contemporary country', 'country road', 'lift kit', 'modern country rock']",A Thousand Horses,55RI2GNCfyXr0f14uIdhwd
A Tribe Called Quest,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']",A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa
A$AP Ferg,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL
A$AP Rocky,"['east coast hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
,[],A'me Lorain,
,[],A*Teens,
A Boogie Wit da Hoodie,"['pop', 'rap', 'trap music']",A+,31W5EY0aAly4Qieq6OFu6I
,[],A-Trak + Milo,
A.B. Quintanilla III,"['cumbia', 'grupera', 'latin', 'regional mexican', 'tejano', 'tropical']",A.B. Quintanilla,5MP9bH9aUryiKQeUvABLIU
A.B. Skhy,[],A.B. Skhy,09vDvrDW4WHENV17uxHAat
A.L.T. And The Lost Civilization,[],A.L.T. And The Lost Civilization,4pZvHlvLV5er0s4rfQ6m5A
A.B. Logic,"['eurodance', 'hip house']",AB Logic,3uuPMhG3hFjDQwMat8Zj9b
ABBA,"['europop', 'swedish pop']",ABBA,0LcJLqbBmaGUft1e9Mm8HV
ABC,"['art rock', 'dance rock', 'disco', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",ABC,2s79xe5F6eUQkjwjww27Fh
ABN,"['deep southern trap', 'dirty south rap', 'gangster rap']",ABN,5Mh88m8n53h0AOdocE0Rbv
AC/DC,"['album rock', 'classic rock', 'hard rock', 'heavy christmas', 'rock']",AC,711MCceyCBcFnzjGY4Q7Un
AFI,"['alternative metal', 'emo', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo', 'skate punk']",AFI,19I4tYiChJoxEO5EuviXpz
AJR,['modern rock'],AJR,6s22t5Y3prQHyaHWUN1R1C
ATC,[],ATC,74ZHOTPP0eWWe9kLt8jHbP
Awb,[],AWB,1NfnPRMJQFRMwHAG6FCvyi
AWOLNATION,"['alternative rock', 'la indie', 'modern rock', 'stomp pop']",AWOLNATION,4njdEjTnLfcGImKZu1iSrz
AZ,"['alternative hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap', 'southern hip hop']",AZ,7HqrSDuI9lHuH1CDismTFg
Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",Aaliyah,0urTpYCsixqZwgNTkPJOJ4
Aaron Carter,"['dance pop', 'post-teen pop']",Aaron Carter,5338fdSzGNOFD4cxAxDTeq
Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul christmas', 'urban contemporary']",Aaron Hall,772SIFJQiXTCfxncTK1UMn
Aaron Lewis,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'post-grunge', 'redneck']",Aaron Lewis,2t2XKfWKLXpFIjFwy1K8wx
,[],Aaron Lewis Of Staind,
Aaron Lines,"['canadian country', 'country road']",Aaron Lines,3YmywXnB2RxQ9IvUzZqvo9
Aaron Neville,"['jazz blues', 'jazz christmas', 'memphis soul', 'motown', 'new orleans blues', 'pop christmas', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']",Aaron Neville,57ALvbCBaCkNlgTOSiUPdT
Aaron Tippin,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'outlaw country', 'redneck', 'traditional country']",Aaron Tippin,4XwKU420OWVk38vz1KvH3M
Aaron Watson,"['contemporary country', 'country', 'country road', 'deep texas country', 'modern country rock', 'outlaw country', 'texas country']",Aaron Watson,5BKzvAPtNXnt0LwzGvKOH3
Irving Aaronson and His Commanders,['dixieland'],Aaronson,0wu8tyvMCOGjBM72P3zd9w
,[],Abaco Dream,
Abra Moore,"['ectofolk', 'lilith', 'new wave pop']",Abra Moore,4Nfj9qeKS8OmfFmOA6K6K2
Abstrac,[],Abstrac',2oDwF2uE8HWxkHsD8oLSEQ
Ace Hood,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",Ace,31HjiqargV4NAw4GZqUale
Ace Cannon,[],Ace Cannon,5tZo7rC9bqWAmhJ1bsejXb
Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",Ace Frehley,62olK5zZHSgFUXGDykgBL8
Ace Hood,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",Ace Hood,31HjiqargV4NAw4GZqUale
Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'new wave pop', 'pop rock', 'swedish pop']",Ace Of Base,5ksRONqssB7BR161NTtJAm
Ace Spectrum,[],Ace Spectrum,5wLCYIHgd7kXSFEf1oOh8R
Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'pop rap', 'rap', 'underground hip hop']",Action Bronson,7BMccF0hQFBpP6417k1OtQ
Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",Adam Ant,3QP0XPDwbvGivqDAaJ5f5G
,[],Adam Clayton & Larry Mullen,
Adam Faith,"['brill building pop', 'british invasion', 'merseybeat', 'rock-and-roll', 'rockabilly']",Adam Faith,284fAcjDaBYlPBLZnQkZU0
Adam Gontier,[],Adam Gontier,2NkpmkcWNxbWydBaETRfqT
Adam Hicks,['post-teen pop'],Adam Hicks,3dctbbXhrRgigX1icexnws
Adam Lambert,"['dance pop', 'idol', 'pop', 'post-teen pop']",Adam Lambert,6prmLEyn4LfHlD9NnXWlf7
Adam Levine,"['neo mellow', 'pop christmas']",Adam Levine,4bYPcJP5jwMhSivRcqie2n
,[],Adam Levine & Javier Colon,
,[],Adam Levine & Tony Lucca,
Adam Sandler,"['comedy', 'comic']",Adam Sandler,2LB9H0px4qWbCHg9Axzhga
Adam Wade,['deep adult standards'],Adam Wade,1rBtwsSkGLKYGhL5yj98Wd
Adam Wakefield,[],Adam Wakefield,6vVB9hUpiPCp5SWAYwSzUt
The Addrisi Brothers,[],Addrisi Brothers,4vrpLwbYAx59ca8wYZrYY9
Adele,['pop'],Adele,4dpARuHxo51G3z768sgnrY
Adina Howard,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",Adina Howard,266SmBZTt4zRzaKEANWbfQ
Adrian Baker,['library music'],Adrian Baker,1gecXg2ffE7G6AfAFQsVWr
Adrian Belew,"['art rock', 'canterbury scene', 'jazz fusion', 'progressive rock', 'symphonic rock', 'zolo']",Adrian Belew,67ACRXvvMXGf3zGJMefM63
Adrian Kimberly,[],Adrian Kimberly,0HgBNkvd9LrpQIcIGotLNP
Adriel Favela,"['regional mexican', 'regional mexican pop']",Adriel Favela,0PrhwIWbqYFYyY2ZrkIWgI
Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",Aerosmith,7Ey4PD4MYsKc5I2dolUwbH
,[],Afrika Bambaataa & The Soul Sonic Force,
Afrique,[],Afrique,55uiMDTDMlgXRn3djYbrPM
Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",Afrojack,4D75GcNG95ebPtNvoNVXhz
