found_name,genres,read_name,spotify_id
,[],"Jermaine ""JD"" Dupri",
Jermaine Dupri,"['crunk', 'dirty south rap', 'hip pop', 'pop rap', 'rap', 'southern hip hop']",Jermaine Dupri,6nfYGe7IIuuP5bMY1jkJP6
,[],Jermaine Dupri & Ludacris,
Jermaine Jackson,"['disco', 'post-disco', 'quiet storm', 'urban contemporary']",Jermaine Jackson,1VDurPMbOKrNU8mcMP4X1P
,[],Jermaine Jackson & Pia Zadora,
Jermaine Paul,['deep talent show'],Jermaine Paul,302jOsgU7aZW71XhLem57k
Jermaine Stewart,[],Jermaine Stewart,7FAkzV0YOw0EIXFhmY4RE3
Jerrod Niemann,"['contemporary country', 'country', 'country road', 'lift kit', 'modern country rock', 'redneck']",Jerrod Niemann,0RKP52f5PNDCRZ9Luq2Sr7
Jerry Butler,"['brill building pop', 'chicago soul', 'disco', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']",Jerry Butler,0U2mUJuJkthantMGmsJygP
,[],Jerry Butler & Brenda Lee Eager,
Jerry Byrd,"['hawaiian', 'world christmas']",Jerry Byrd,5PGYCViqsPlum357lDLBpm
Jerry Corbetta,[],Jerry Corbetta,2EZbiVzmsTlzoB0h4qGbbK
Jerry Fuller,[],Jerry Fuller,0QHulimOh5z1RsuiqkNI4H
Jerry Garcia,"['blues-rock', 'country rock', 'folk rock', 'jam band', 'mellow gold', 'modern blues', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'southern rock', 'traditional folk']",Jerry Garcia,3QDaXfnxfQqqJQK5lSdjLN
Jerry Jaye,[],Jerry Jaye,34LPrj2jJHyeenP4sURa7N
Jerry Jeff Walker,"['alternative country', 'country christmas', 'country rock', 'folk', 'folk christmas', 'outlaw country', 'roots rock', 'southern rock', 'texas country', 'traditional country', 'traditional folk', 'western swing']",Jerry Jeff Walker,763opp15PhfHpEaiVjM6m7
Jerry Keller,[],Jerry Keller,2lR41igVimFPS6opgzQKFt
Jerry Landis,[],Jerry Landis,4YlWCM8IUxwfkvjG7GjaCt
Jerry Lee Lewis,"['adult standards', 'brill building pop', 'christmas', 'piano rock', 'rock-and-roll', 'rockabilly', 'roots rock', 'traditional country']",Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo
Jerry Lee Lewis & His Pumping Piano,[],Jerry Lee Lewis And His Pumping Piano,66Im4CxO5Hnn4zrGVLVo2Q
Jerry Murad's Harmonicats,[],Jerry Murad's Harmonicats,6DwFBuiqYVpkiHhtmESwwk
Jerry Naylor,[],Jerry Naylor,4imGUItg3QaBnZoRAV1QRb
Jerry Reed,"['country', 'country gospel', 'country rock', 'cowboy western', 'nashville sound', 'outlaw country', 'texas country', 'traditional country']",Jerry Reed,3kvy8do7n0qVqvlNFS4yOF
Jerry Reed & The Hully Girlies,[],Jerry Reed And The Hully Girlies,1WHQlzc43xMfeZ9uS3mZHZ
,[],Jerry Smith and his Pianos,
Jerry Vale,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'operatic pop', 'vocal jazz']",Jerry Vale,5MaJrqhwysKwbvDePyAS6l
Jerry Wallace,"['country gospel', 'deep adult standards', 'nashville sound']",Jerry Wallace,3dE4AKlTQ3EW6yU6F9LuQT
The Funk Brothers with Jerryo,[],Jerryo,6wjtaX4WDioaiOxUOaCSzf
Jeru The Damaja,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'turntablism']",Jeru The Damaja,6CsOL9C9iLL0eWKINlDxzQ
Jess Glynne,"['dance pop', 'pop', 'post-teen pop', 'tropical house']",Jess Glynne,4ScCswdRlyA23odg9thgIO
Jesse Anderson,[],Jesse Anderson,5ffkLFZRzA7Mqp9lye5ufq
Jesse Belvin,[],Jesse Belvin,4u0qFtN4NZ1NjcvAw3HAGU
Jesse James Solomon,[],Jesse James,6QNL63YF6rLawrWWhrrhYI
,[],Jesse Jaymes,
Jesse Johnson,"['classic funk rock', 'funk', 'quiet storm']",Jesse Johnson,31h3nKJjsutodtNKRj6Joy
,[],Jesse Johnson's Revue,
Jesse McCartney,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary', 'viral pop']",Jesse McCartney,2Hjj68yyUPiC0HKEOigcEp
Jesse Powell,"['new jack swing', 'urban contemporary']",Jesse Powell,4ryyCNxkhfBSXHx4k2lo3T
,[],Jesse Wes,
Jesse Winchester,"['country blues', 'country rock', 'folk', 'roots rock', 'traditional folk']",Jesse Winchester,0LQrsY8CFvCyUAqAtiiVxw
Jessi Colter,"['nashville sound', 'outlaw country', 'texas country', 'traditional country']",Jessi Colter,43HpW8B5gYRnYbSzm37n5v
Jessica Andrews,"['contemporary country', 'country', 'country dawn']",Jessica Andrews,5rNhVm2CnqiO5Lv4Dt2lck
Jessica Simpson,"['dance pop', 'pop', 'pop christmas', 'pop rock', 'post-teen pop', 'urban contemporary']",Jessica Simpson,2tFN9ubMXEhdAQvdQxcsma
Jessie Hill,"['memphis blues', 'new orleans blues']",Jessie Hill,0LeecN3yVUDsHFFzrTLp5v
Jessie J,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",Jessie J,2gsggkzM5R49q6jpPvazou
Jessie James Decker,['contemporary country'],Jessie James,0GzIauSfKRc5BlNXpTWAGz
Jesus Jones,"['acid house', 'britpop', 'madchester']",Jesus Jones,0roeI3yPusDWwWRzAqTopw
Jesús Chairez,[],Jesús Chairez,49xb55bacoIXahj7bLmfUp
Jesús Ojeda y Sus Parientes,"['deep regional mexican', 'regional mexican', 'regional mexican pop']",Jesús Ojeda y Sus Parientes,3DVNivnmWy2nzzIneVr4Yk
Jet,"['alternative rock', 'australian alternative rock', 'garage rock', 'modern rock', 'post-grunge', 'rock']",Jet,5ypxebeHEIXjMtJb17uJlI
Jethro Tull,"['album rock', 'art rock', 'blues-rock', 'british blues', 'classic rock', 'folk rock', 'hard rock', 'heavy christmas', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'roots rock', 'symphonic rock']",Jethro Tull,6w6z8m4WXX7Tub4Rb6Lu7R
Jewel,"['folk christmas', 'folk-pop', 'lilith', 'permanent wave', 'pop christmas', 'pop rock', 'singer-songwriter']",Jewel,6FbDoZnMBTdhhhLuJBOOqP
Jewel Akens,[],Jewel Akens,1gVvCzqQy5epTJcFNwWJ37
Buddy Jewell,"['contemporary country', 'country', 'country road']",Jewell,43c94u7flZbHSdDaUuohqS
Jhene Aiko,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",Jhene Aiko,5ZS223C6JyBfXasXxrRqOk
Jibbs,"['crunk', 'dirty south rap', 'pop rap', 'southern hip hop']",Jibbs,4USNIVeRwXIAdbVSTqelbh
Jidenna,['indie r&b'],Jidenna,4TsHKU8l8Wq7n7OPVikirn
Jigsaw,[],Jigsaw,29NJ6VbDPYhqdXXANEwHc7
Jill Scott,"['dance pop', 'funk', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",Jill Scott,6AVLthptCPhfrxlHadOBJD
Jill Sobule,"['ectofolk', 'folk christmas', 'folk-pop', 'lilith']",Jill Sobule,16BoY9HfrtxVodHVdgad07
Jim & Jean Strathdee,[],Jim & Jean,4HwBjc7ti47LmtYGlNnw6m
Jim Brickman,"['classify', 'new age']",Jim Brickman,2NzWRNaaLByHyI3wpuec8P
Jim Campbell,[],Jim Campbell,4RZVLY0DJmcqKrgd83uYbE
Jim Capaldi,[],Jim Capaldi,1XIbUq7y7kiMUhmp5dywGx
Jim Croce,"['adult standards', 'album rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",Jim Croce,1R6Hx1tJ2VOUyodEpC12xM
Jim Ed Brown,"['country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']",Jim Ed Brown,6XBkny92syvAWxlIX8CZAM
Jim Edward Brown,[],Jim Edward Brown,7dANycAnFdvokWD4QIv4NL
Jim Gilstrap,[],Jim Gilstrap,4FxICzMBJZuFuTPqOFTexw
,[],Jim Hurt,
Jim Jones,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap music']",Jim Jones,6AMa1VFQ7qCi61tCRtVWXe
,[],Jim Kirk And The Tm Singers,
Jim Messina,['deep soft rock'],Jim Messina,62MaT134frQwZdcvQcjcSY
Jim Photoglo,[],Jim Photoglo,2MtaGjp33oMpAQ702qK4Rj
Jim Reeves,"['adult standards', 'brill building pop', 'christmas', 'country christmas', 'country gospel', 'cowboy western', 'nashville sound', 'rock-and-roll', 'rockabilly', 'traditional country']",Jim Reeves,2Ev0e8GUIX4u7d9etNLTXg
Jim Stafford,[],Jim Stafford,0CIdEoAG4j0tnC6IZsDr0q
Jim Steinman,[],Jim Steinman,2V3UNup4XHyqdCOGcQai1d
Jim Weatherly,[],Jim Weatherly,0KYECjrpbLM1bbgqxYB7ZF
,[],Jim and Monica,
Jimi Hendrix,"['album rock', 'blues-rock', 'classic funk rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",Jimi Hendrix,776Uo845nYHJpNaStv1Ds4
,[],Jimmie Beaumont,
Jimmie Rodgers,"['acoustic blues', 'appalachian folk', 'bluegrass', 'blues', 'country gospel', 'cowboy western', 'delta blues', 'nashville sound', 'piedmont blues', 'traditional blues', 'traditional country', 'traditional folk', 'western swing']",Jimmie Rodgers,0Y0ZlznP6vzTS1qAm5dvTN
"Jimmy ""Bo"" Horne","['disco', 'post-disco']","Jimmy ""Bo"" Horne",6jcPHv7qVfqysvBT7Jmn7K
Jimmy Barnes,['australian pop'],Jimmy Barnes,1k5aZWIOUbUfKcnMxtEivJ
,[],Jimmy Beaumont And The Skyliners,
Jimmy Buffett,"['country christmas', 'folk christmas', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",Jimmy Buffett,28AyklUmMECPwdfo8NEsV0
The Jimmy Castor Bunch,"['classic funk rock', 'deep funk', 'funk']",Jimmy Castor,7E5taE9LniGvMzEHpiOupV
Jimmy Charles,[],Jimmy Charles,2aWMpUpxRV3pGXVdr6Srp9
,[],Jimmy Charles and The Revelletts,
Jimmy Clanton,"['doo-wop', 'swamp pop']",Jimmy Clanton,2XZXvrqedRMiKv6UWjAT4B
Jimmy Cliff,"['dub', 'reggae', 'reggae fusion', 'roots reggae', 'ska']",Jimmy Cliff,3rJ3m1tM6vUgiWLjfV8sRf
Jimmy Cozier,[],Jimmy Cozier,0EMbYln4tFooKUTDS2ipkg
Jimmy Cross,[],Jimmy Cross,4eKMkGVTuUvP80KG6Aq1gO
,[],Jimmy Darren,
,[],Jimmy Davis & Junction,
Jimmy Dean,"['country christmas', 'country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']",Jimmy Dean,1RaDKTFXuy0qA8YV1h9SwC
,[],Jimmy Delphs,
Jimmy Durante,"['adult standards', 'big band', 'cabaret', 'christmas', 'easy listening', 'lounge', 'swing', 'vocal jazz']",Jimmy Durante,5FNHfTn3yzVpqdUyWwej0v
Jimmy Eat World,"['alternative rock', 'emo', 'modern rock', 'neo mellow', 'pop christmas', 'pop punk', 'pop rock', 'post-grunge', 'punk christmas']",Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s
Jimmy Elledge,[],Jimmy Elledge,4xJgf5FGAe5qNMV7vh8uO7
Jimmy Fallon,"['comedy', 'comic']",Jimmy Fallon,7mAcgRMD6EfCKHO6cIkDOP
Jimmy Gilmer & The Fireballs,[],Jimmy Gilmer And The Fireballs,2FIdQw5j2RpoSKSg3siOmy
Jimmy Hall,[],Jimmy Hall,2LorJQEiLTxNDsJ3jVrQNi
,[],Jimmy Harnen,
Jimmy Holiday,['deep southern soul'],Jimmy Holiday,6gOZp4VmgZVkbvEjIwzsTJ
Jimmy Hughes,"['chicago soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']",Jimmy Hughes,0Ac3Vb2xO8UGlSHlll7RFE
Jimmy James & The Vagabonds,['northern soul'],Jimmy James & The Vagabonds,3bflLnRrSv2lbgQHyhFP7l
Jimmy Jones,"['bmore', 'brill building pop', 'doo-wop', 'merseybeat', 'rock-and-roll']",Jimmy Jones,7ydcRbgt0yM9etADb1Ackp
Jimmy McCracklin,"['blues', 'chicago blues', 'jazz blues', 'jazz christmas', 'jump blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'soul blues']",Jimmy McCracklin,58CohJpaPmE4H0fXEAnt4i
Jimmy McGriff,"['jazz blues', 'jazz christmas', 'jazz funk', 'jazz organ', 'soul jazz']",Jimmy McGriff,1A0QR12gcj2L5hYh1WWDeh
Jimmy Norman,[],Jimmy Norman,5F9STqEyxGLgO3Zu8knyh2
Jimmy Page & The Black Crowes,[],Jimmy Page,7EYioRwQgW04kgjaiGIVyz
Jimmy Ray,[],Jimmy Ray,19mELXwQE3LGemD3ioO0lO
Jimmy Reed,"['acoustic blues', 'blues', 'blues-rock', 'chicago blues', 'country blues', 'delta blues', 'electric blues', 'harmonica blues', 'jazz blues', 'jazz christmas', 'jump blues', 'louisiana blues', 'memphis blues', 'memphis soul', 'new orleans blues', 'piano blues', 'piedmont blues', 'rock-and-roll', 'soul blues', 'southern soul', 'swamp blues', 'texas blues', 'traditional blues']",Jimmy Reed,41ZMMuFFLPTVPkUsSI5KlV
"Roselli, Jimmy",[],Jimmy Roselli,1QowGx6fhL4qXLzBgRZISj
Jimmy Ruffin,"['brill building pop', 'chicago soul', 'memphis soul', 'motown', 'northern soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",Jimmy Ruffin,0hF0PwB04hnXfYMiZWfJzy
Jimmy Ryser,[],Jimmy Ryser,0BB5YSCmMcaWLSB9D4vkiI
Jimmy Smith,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz christmas', 'jazz funk', 'jazz fusion', 'jazz organ', 'soul jazz']",Jimmy Smith,5GXruybcLmXPjR9rKKFyS6
,[],Jimmy Smith And The Big Band,
Jimmy Somerville,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",Jimmy Somerville,6LQeBFIfD4C22RJVVjQ6S7
Jimmy Soul,[],Jimmy Soul,7k4MYPtpz3fAViMuuLi9ry
Jimmy Velvet,[],Jimmy Velvet,67WqvGaFBKDUjucrKjAaFA
Jimmy Wayne,"['contemporary country', 'country', 'country christmas', 'country road']",Jimmy Wayne,60h3lZFY2T93K7qxVPrajf
Jimmy Witherspoon,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'delta blues', 'harmonica blues', 'jazz blues', 'jazz christmas', 'jump blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'soul blues', 'swamp blues', 'texas blues', 'traditional blues']",Jimmy Witherspoon,6vth8u6Wp7k2bbzDQMCmrb
Jimmy Witter,[],Jimmy Witter,2QQaSfuhgy97XYKAUHVstp
Jinny Ng,"['c-pop', 'cantopop']",Jinny,03OP7wr6EAMFBmDiaRsdbf
Jive Bunny and the Mastermixers,[],Jive Bunny & The Mastermixers,4GzIiGnHYrOnq2LUiD6zdo
Jivin' Gene & The Jokers,['swamp pop'],Jivin' Gene And The Jokers,61UHoRrn8EEEJ2LhKbAuAg
,[],Jo Ann & Troy,
Jo Ann Campbell,[],Jo Ann Campbell,1PY8j7weiWfQMdTGbTjVxc
Jo Dee Messina,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country road']",Jo Dee Messina,3ltFy7g6KKQPPttsdOMlq3
Jo Jo Gunne,"['classic rock', 'southern rock']",Jo Jo Gunne,180M0URr7cSwB94IZToyLH
Jo' & Eliah,[],Jo' & Eliah,1UhijDIwuirDeFrdYmPK42
JoJo,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary', 'viral pop']",JoJo,5xuNBZoM7z1Vv8IQ6uM0p6
Joan Armatrading,"['folk', 'folk christmas', 'folk rock', 'lilith', 'mellow gold', 'new wave pop', 'singer-songwriter']",Joan Armatrading,1bdAJUX6JPsnYHbTl5jbk6
Joan Baez,"['folk', 'folk christmas', 'folk rock', 'folk-pop', 'mellow gold', 'singer-songwriter', 'traditional folk']",Joan Baez,1EevBGfUh3RSQSGpluxgBm
Joan Jett,"['heavy christmas', 'rock']",Joan Jett,6ZRWxu4ak88m5yHBAEelkQ
Joan Jett & The Blackhearts,[],Joan Jett & the Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K
Joan Osborne,"['folk', 'folk christmas', 'folk-pop', 'lilith', 'new wave pop', 'pop christmas', 'pop rock', 'singer-songwriter']",Joan Osborne,0djV4iaxhNfYWpH60ia85o
Joanie Sommers,[],Joanie Sommers,64ZUngtVBOg6z3kKagoZhU
,[],Joboxers,
Jocelyn Brown,"['disco', 'post-disco']",Jocelyn Brown,2ga5ADaBpljQ3YrCh99ZMq
Jocelyn Enriquez,['freestyle'],Jocelyn Enriquez,5hgxMFtaWAhh6LDHdVBZLB
Jodeci,"['dance pop', 'funk', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",Jodeci,1eNkUXHPaXyuyC8NAgzykK
Jody Miller,"['country gospel', 'nashville sound']",Jody Miller,656TGMl6uRQSQlFRVCKt7w
Jody Watley,"['disco', 'freestyle', 'funk', 'new jack swing', 'new wave pop', 'post-disco', 'quiet storm', 'urban contemporary', 'vocal house']",Jody Watley,71aKjsWKYqASAffyIQaocZ
Fat Joe,"['dirty south rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap music']",Joe,3ScY9CQxNLQei8Umvpx5g6
"Joe ""Bean"" Esposito",[],"Joe ""Bean"" Esposito",4PCSnq8Q3hxOTn3ro4cl0M
Joe Barry,['swamp pop'],Joe Barry,2eMH8MCrUhu9NVcH0Hv83z
Joe Budden,"['crunk', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']",Joe Budden,1SAugjIcuwNPKS4urSB7A6
Joe Cocker,"['blues-rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",Joe Cocker,3pFCERyEiP5xeN2EsPXhjI
Joe Cocker & Jennifer Warnes,[],Joe Cocker And Jennifer Warnes,6BLz9vkGLH8HomNJhaa2Ru
,[],Joe Cocker and The Chris Stainton Band,
,[],Joe Damiano,
Joe Diffie,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'nashville sound', 'outlaw country', 'redneck', 'texas country', 'traditional country']",Joe Diffie,3THMgU4KdL7LlO5TEREs2g
Joe Dolce,[],Joe Dolce,4wUEfafmKVXlwEiz9RdPFc
Joe Dowell,[],Joe Dowell,1b5taabb9eKSbyzVFVtEjh
Joe Esposito,[],Joe Esposito,65dOI8VCioOZndbxxqxc0U
Joe Fagin,[],Joe Fagin,7uHFuiwBAwAVGXml2UIjKc
,[],Joe Frank & Dennison,
"Hamilton, Joe Frank & Reynolds","['bubblegum pop', 'soft rock']",Joe Frank & Reynolds,7vpRSadEAzLs0ikY7gAESe
Joe Gifted,[],Joe Gifted,4iBRR0fpwnoD7bAqNv3OJN
,[],Joe Harnell And His Orchestra,
Joe Henderson,"['avant-garde jazz', 'bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'stride', 'vocal jazz']",Joe Henderson,3BG0nwVh3Gc7cuT4XdsLtt
Joe Hinton,[],Joe Hinton,2KjHHegzN6WkxpPGvkdU4c
Joe Jackson,"['art rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'singer-songwriter', 'soft rock', 'synthpop']",Joe Jackson,6KOqPxwfNAmZPkiCnDE9yT
Joe Jonas,['post-teen pop'],Joe Jonas,7gbmX8SsfjEjxDMzBi1ZOL
Philly Joe Jones,"['bebop', 'hard bop', 'jazz drums']",Joe Jones,4WhH68K75YKSAwHAqWFpi1
Joe Nichols,"['contemporary country', 'country', 'country christmas', 'country road', 'modern country rock']",Joe Nichols,4aJTB79uwT4sP0Nb8QGWHc
Joe Perkins,[],Joe Perkins,1sFbpu494RLEGW1JYTSamq
Joe Public,['new jack swing'],Joe Public,3RnBzCfr8bQeLQQMGF6IeE
,[],Joe Reisman Orch. & Chorus,
,[],Joe Rene And Orchestra,
Joe Sherman,[],Joe Sherman,5TpFOJbmNiLwu3bluMpxAz
Joe Simon,"['chicago soul', 'memphis soul', 'motown', 'northern soul', 'soul', 'soul blues', 'southern soul']",Joe Simon,5HRSYURV6LFFRCjAtiK0py
Joe South,"['bubblegum pop', 'folk rock', 'merseybeat']",Joe South,7s2L0cftC6UBVVxADuyfwS
,[],Joe South and The Believers,
Joe Stampley,['country christmas'],Joe Stampley,0bRY1ri3TKSfD5BRU8CvaJ
Joe Won Sun of Rollercoaster,[],Joe Sun,7prfCInSF0Fxni4b8x02ZP
Joe Tex,[],Joe Tex,5xmR290ICxOdWvyGENs2Aq
Big Joe Turner,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'delta blues', 'jazz blues', 'jazz christmas', 'jump blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly', 'soul blues', 'swamp blues', 'texas blues', 'traditional blues']",Joe Turner,1DTgcOxytJHD8p17mhSgd7
Joe Walsh,"['album rock', 'blues-rock', 'british blues', 'classic funk rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock', 'symphonic rock']",Joe Walsh,5bDxAyJiTYBat1YnFJhvEK
Joee,[],Joee,7lnyytg8R4MiLIjfcjJrLZ
Joel Diamond,[],Joel Diamond,3l994DG3WHfCv5AmYnSdkp
,[],Joey B. Ellis & Tynetta Hare,
Joey Dee,[],Joey Dee,7AhwU55MQG9KtNtwr9JoZN
Joey Dee & The Starliters,[],Joey Dee & the Starliters,5a1eYf2G4v4UKubimlfGAJ
Joey Galaxy,[],Joey Galaxy,1HvYwEbfOUhm2F4g9nH0vP
Joey Heatherton,[],Joey Heatherton,2ZIeThCJV4PpDwNr6lgSni
Joey Kid,"['deep freestyle', 'freestyle']",Joey Kid,6fre5CenwJZSshWcfYfSoD
Joey Lawrence,[],Joey Lawrence,4FsQzIQN32waEatAdYweSJ
Joey McIntyre,['boy band'],Joey McIntyre,3SIW6eVIZSz9V05WsaKIr3
Joey Powers,['deep adult standards'],Joey Powers,34zudYAaTtp0ulMMSpdcrc
Joey Purp,['underground hip hop'],Joey Purp,1ewyVtTZBqFYWIcepopRhp
Joey Scarbury,['soft rock'],Joey Scarbury,5V9pNqcN25JXuH88g7lq2o
,[],Joey Travolta,
Joey Vann of The Duprees & Joey Vann of The Duprees,[],Joey Vann,4XfTOYgQdIM9TqUwEFSDvK
Johann Sebastian Bach,"['baroque', 'classical', 'classical christmas', 'early music', 'german jazz']",Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408
,[],John & Anne Ryder,
,[],John & Ernest,
John Anderson,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'nashville sound', 'outlaw country', 'texas country', 'traditional country']",John Anderson,3U7k7hBsHF9dy4ELW53Wrv
Long John Baldry,['british blues'],John Baldry,5x9DWz6SpEVu9NgL8aktm2
John Barry And His Orchestra,[],John Barry and His Orchestra,6TmP52vEbVpUASqclk1HDN
John Belushi,[],John Belushi,4ESKnB3MUdZktI7uDnsGnx
John Cafferty,[],John Cafferty,0fPK3TAseRcy6sAS8U8pEw
John Cafferty & the Beaver Brown Band,['mellow gold'],John Cafferty & The Beaver Brown Band,5qwERxFiC8zCJvnVI8Zkl9
John Mellencamp,"['album rock', 'classic rock', 'folk christmas', 'folk rock', 'hard rock', 'mellow gold', 'pop christmas', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock']",John Cougar,3lPQ2Fk5JOwGWAF3ORFCqH
John Mellencamp,"['album rock', 'classic rock', 'folk christmas', 'folk rock', 'hard rock', 'mellow gold', 'pop christmas', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock']",John Cougar Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH
John D. Loudermilk,[],John D. Loudermilk,2uZxOKdDo7Uy4M0jDa9DNx
John Davis & The Monster Orchestra,['deep disco'],John Davis And The Monster Orchestra,4N81xA4vupQhBTvKFHCD36
John Dawson Read,[],John Dawson Read,3MKrTJqNNFRPJLtitV9dzH
John Denver,"['country christmas', 'folk', 'folk christmas', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",John Denver,7EK1bQADBoqbYXnT4Cqv9w
,[],John Denver & Sylvie Vartan,
John Eddie,[],John Eddie,4CO7qgV1BusQBS6uyi06Ff
John Farnham,['australian pop'],John Farnham,1QxaPWG1POM8Ul6WwsHq4y
John Fogerty,"['album rock', 'blues-rock', 'classic rock', 'mellow gold', 'rock', 'rockabilly', 'roots rock', 'southern rock']",John Fogerty,5ujCegv1BRbEPTCwQqFk6t
John Forte,[],John Forte,1damanY48OjG8KZHLdsSNo
John Fred and The Playboys,[],John Fred And The Playboys,3Kf1A84nUA6sKk3Gh7VcHb
John Gary,"['adult standards', 'christmas', 'easy listening', 'lounge']",John Gary,7JZGn3cCxwdRIoudPO1kNL
John Handy,['jazz saxophone'],John Handy,3Hl3dCaBcrnvBAOMAW4nJR
Long John Hunter,"['chicago blues', 'louisiana blues', 'soul blues', 'swamp blues', 'texas blues']",John Hunter,7z5ixtgDexP9ffmFvFoRlW
John Kay,[],John Kay,3IJv5pAua8t2Q5FP79TXOt
John Kongos,[],John Kongos,15KbeP35gI9t2vgYzwsTjj
John Lee Hooker,"['acoustic blues', 'blues', 'blues-rock', 'chicago blues', 'classic rock', 'country blues', 'delta blues', 'electric blues', 'jazz blues', 'jazz christmas', 'louisiana blues', 'memphis blues', 'modern blues', 'piedmont blues', 'soul', 'soul blues', 'texas blues', 'traditional blues']",John Lee Hooker,1yNOfXGQNGjAynk77wv85x
John Legend,"['neo mellow', 'neo soul', 'pop', 'pop christmas', 'r&b', 'soul christmas', 'urban contemporary']",John Legend,5y2Xq6xcjJb2jVM54GHK3t
John Lennon,"['album rock', 'art rock', 'classic rock', 'folk christmas', 'folk rock', 'mellow gold', 'pop christmas', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",John Lennon,4x1nvY2FN8jxqAFA0DA02H
,[],John Lennon & The Plastic Ono Band,
,[],John Lennon Plastic Ono Band,
,[],John Livigni,
John Martin,[],John Martin,2auikkNYqigWStoHWK1Grq
John Mayall & The Bluesbreakers,"['acoustic blues', 'blues', 'blues-rock', 'british blues', 'british invasion', 'chicago blues', 'classic rock', 'country blues', 'delta blues', 'electric blues', 'jazz blues', 'memphis blues', 'modern blues', 'psychedelic rock', 'soul blues', 'texas blues', 'traditional blues']",John Mayall,2ScuQMRWThcifBRIvNDFDC
John Mayer,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer,0hEurMDQu99nJRq8pTxO14
John Mayer Trio,['electric blues'],John Mayer Trio,68xuC1qXRhCUvGd4SSM655
