city_id,city_name,city_state,lat,lon
133,Dayton,Ohio,39.75047100000001,84.26859
134,Indianapolis,Indiana,39.775092,86.1321
135,Fort Wayne,Indiana,41.093763,85.07070999999998
136,Bloomington,Indiana,39.07881,86.43509
137,West Lafayette,Indiana,40.467303,86.92813000000002
138,Ann Arbor,Michigan,42.266638,83.84904
139,Taylor,Michigan,42.245837,83.24906
140,Southgate,Michigan,42.257801,83.28593000000002
141,Detroit,Michigan,42.239933,83.15082
142,Farmington,Michigan,42.505138,83.40723
143,East Lansing,Michigan,42.737334,84.50352
144,Ames,Iowa,42.037879,93.60025
145,Pella,Iowa,41.341915,93.09279
146,Des Moines,Iowa,41.672687,93.57217
147,Dubuque,Iowa,42.458876,90.87713
148,Baldwin,Iowa,42.120007,90.81634
149,Iowa City,Iowa,41.648207,91.54157
150,Cedar Rapids,Iowa,41.976612,91.65757
151,Milwaukee,Wisconsin,43.011264,87.9584
152,Janesville,Wisconsin,42.710981,89.1122
153,Stoughton,Wisconsin,42.931289,89.16835
154,Madison,Wisconsin,43.06956,89.42385999999998
155,Eau Claire,Wisconsin,44.75653,91.47309
156,Saint Paul,Minnesota,44.967965,93.09216
157,Arlington Heights,Illinois,42.085626,87.9982
158,Palatine,Illinois,42.097976,88.01406999999998
159,Elmhurst,Illinois,41.88353,87.94641
160,Berwyn,Illinois,41.811929,87.6873
161,Naperville,Illinois,41.759029,88.15238000000002
162,Chicago,Illinois,41.811929,87.6873
163,Rockford,Illinois,42.33342,89.15719
164,Kansas City,Missouri,39.102404,94.59858
165,Springfield,Missouri,37.25807,93.34367
166,Wichita,Kansas,37.651974,97.25899
167,Omaha,Nebraska,41.291736,96.1711
168,Lincoln,Nebraska,40.865142,96.82313
169,Metairie,Louisiana,29.984643,90.16182
170,New Orleans,Louisiana,29.958304,90.07
171,Lafayette,Louisiana,30.232955,92.06657
172,Baton Rouge,Louisiana,30.449240000000003,91.1856
173,Edmond,Oklahoma,35.674777,97.49968
174,Oklahoma City,Oklahoma,35.491608,97.56281
175,Austin,Texas,30.326374,97.77125
176,Stillwater,Oklahoma,36.10152100000001,97.06906
177,Tulsa,Oklahoma,36.039147,95.86866
178,Wilburton,Oklahoma,34.855219,95.28771
179,Carrollton,Texas,32.767268,96.77762
180,Irving,Texas,32.767268,96.77762
181,Plano,Texas,33.104885,96.65957
182,Frisco,Texas,33.152221999999995,96.79643
183,Garland,Texas,32.931523,96.61582
184,Sachse,Texas,32.950371999999994,96.5753
185,Grand Prairie,Texas,32.767268,96.77762
186,The Colony,Texas,33.077136,96.9016
187,Richardson,Texas,32.962811,96.72682
188,Mesquite,Texas,32.777778999999995,96.6231
189,Dallas,Texas,32.781178999999995,96.79032
190,Arlington,Texas,32.771419,97.29148
191,Burleson,Texas,32.492683,97.26435
192,Fort Worth,Texas,32.771419,97.29148
193,Denton,Texas,33.244683,97.20055
194,Killeen,Texas,31.085833,97.35709
195,San Angelo,Texas,31.44451,-100.533397
196,Houston,Texas,29.813142,95.30978
197,Humble,Texas,29.833990000000004,95.43424
198,Spring,Texas,29.833990000000004,95.43424
199,Cypress,Texas,29.833990000000004,95.43424
200,Katy,Texas,29.833990000000004,95.43424
201,College Station,Texas,30.582241,96.28932
202,Laredo,Texas,27.515879,99.49407
203,New Braunfels,Texas,29.776488,98.22104
204,San Antonio,Texas,29.399933,98.53749
205,Corpus Christi,Texas,27.759399,97.64815
206,Mcallen,Texas,26.269305,98.22436
207,Brownsville,Texas,26.052155,97.51446
208,Pharr,Texas,26.186698,98.12776
209,San Marcos,Texas,29.972907,97.99716
210,Amarillo,Texas,35.205452,-101.795512
211,Lubbock,Texas,33.607701,-101.842056
212,Abilene,Texas,32.344457,99.8021
213,Midland,Texas,31.861876,-102.091276
214,Odessa,Texas,31.765163,-102.354346
215,El Paso,Texas,31.763608,-106.484592
216,Aurora,Colorado,39.715287,-104.84748
217,Littleton,Colorado,39.597937,-105.010182
218,Denver,Colorado,39.726303,-104.856808
219,Boulder,Colorado,40.094787,-105.278083
220,Fort Collins,Colorado,40.59227,-105.298344
221,Colorado Springs,Colorado,38.861469,-104.857828
