City,State,Latitude,Longitude
Lincoln,NE,40.865142,96.82313
Metairie,LA,29.984643,90.16182
New Orleans,LA,29.958304,90.07
Lafayette,LA,30.232955,92.06657
Baton Rouge,LA,30.44924,91.18560
Edmond,OK,35.674777,97.49968
Oklahoma City,OK,35.491608,97.56281
Austin,TX,30.326374,97.77125
Stillwater,OK,36.101521,97.06906
Tulsa,OK,36.039147,95.86866
Wilburton,OK,34.855219,95.28771
Carrollton,TX,32.767268,96.77762
Irving,TX,32.767268,96.77762
Plano,TX,33.104885,96.65957
Frisco,TX,33.152222,96.79643
Garland,TX,32.931523,96.61582
Sachse,TX,32.950372,96.57530
Grand Prairie,TX,32.767268,96.77762
The Colony,TX,33.077136,96.90160
Richardson,TX,32.962811,96.72682
Mesquite,TX,32.777779,96.6231
Dallas,TX,32.781179,96.79032
Arlington,TX,32.771419,97.29148
Burleson,TX,32.492683,97.26435
Fort Worth,TX,32.771419,97.29148
Denton,TX,33.244683,97.20055
Killeen,TX,31.085833,97.35709
San Angelo,TX,31.44451,-100.533397
Houston,TX,29.813142,95.30978
Humble,TX,29.83399,95.43424
Spring,TX,29.83399,95.43424
Cypress,TX,29.83399,95.43424
Katy,TX,29.83399,95.43424
College Station,TX,30.582241,96.28932
Laredo,TX,27.515879,99.49407
New Braunfels,TX,29.776488,98.22104
San Antonio,TX,29.399933,98.53749
Corpus Christi,TX,27.759399,97.64815
Mcallen,TX,26.269305,98.22436
Brownsville,TX,26.052155,97.51446
Pharr,TX,26.186698,98.12776
San Marcos,TX,29.972907,97.99716
Amarillo,TX,35.205452,-101.795512
Lubbock,TX,33.607701,-101.842056
Abilene,TX,32.344457,99.8021
Midland,TX,31.861876,-102.091276
Odessa,TX,31.765163,-102.354346
El Paso,TX,31.763608,-106.484592
Aurora,CO,39.715287,-104.847480
Littleton,CO,39.597937,-105.010182
Denver,CO,39.726303,-104.856808
Boulder,CO,40.094787,-105.278083
Fort Collins,CO,40.59227,-105.298344
Colorado Springs,CO,38.861469,-104.857828
Cheyenne,WY,41.25173,-104.562640
Rexburg,ID,43.79132,-111.771375
Boise,ID,43.603768,-116.272921
Orem,UT,40.311353,-111.724960
Salt Lake City,UT,40.756095,-111.900719
Ogden,UT,41.244261,-112.007924
Provo,UT,40.235053,-111.695558
Phoenix,AZ,33.703967,-112.351835
Mesa,AZ,33.440695,-111.856967
Chandler,AZ,33.298461,-111.850620
Gilbert,AZ,33.335401,-111.815281
Scottsdale,AZ,33.524143,-111.874248
Tempe,AZ,33.401395,-111.931298
Tucson,AZ,32.217975,-110.970869
Flagstaff,AZ,35.932116,-111.597853
Albuquerque,NM,35.199592,-106.644831
Las Vegas,NV,36.17372,-115.106470
Reno,NV,39.65558,-119.704614
Los Angeles,CA,33.973951,-118.248405
Beverly Hills,CA,33.786594,-118.298662
Compton,CA,33.874815,-118.240208
Downey,CA,33.786594,-118.298662
Maywood,CA,33.988463,-118.187376
Santa Monica,CA,33.786594,-118.298662
Torrance,CA,33.835665,-118.303805
Whittier,CA,34.004311,-118.044100
Buena Park,CA,33.640302,-117.769442
La Mirada,CA,33.786594,-118.298662
Norwalk,CA,33.906763,-118.076549
Wilmington,CA,33.779417,-118.253853
Long Beach,CA,33.804309,-118.200957
Northridge,CA,33.786594,-118.298662
Pacoima,CA,33.786594,-118.298662
North Hills,CA,33.786594,-118.298662
Woodland Hills,CA,33.786594,-118.298662
Van Nuys,CA,33.786594,-118.298662
North Hollywood,CA,33.786594,-118.298662
Rancho Cucamonga,CA,34.839964,-115.967051
Baldwin Park,CA,33.786594,-118.298662
Covina,CA,33.786594,-118.298662
La Puente,CA,33.786594,-118.298662
Ontario,CA,34.839964,-115.967051
Pomona,CA,33.786594,-118.298662
West Covina,CA,33.786594,-118.298662
Chula Vista,CA,33.016928,-116.846046
Escondido,CA,33.057128,-117.083403
Oceanside,CA,33.016928,-116.846046
San Diego,CA,32.7211,-117.174366
Fontana,CA,34.839964,-115.967051
San Bernardino,CA,34.839964,-115.967051
Riverside,CA,33.752886,-116.055617
Moreno Valley,CA,33.752886,-116.055617
Perris,CA,33.752886,-116.055617
